Network,id,ocpi_id,Name,Address,State,Latitude,Longitude,POI,Utility,kilowatts_,kilowatts1,F__station,F__DCFCs,F__CCS,F__CHAdeMO,NAME_1,NAMELSAD
Non-networked,1618,,ABC Nissan,"1300 E Camelback Rd. Phoenix, AZ  85014",AZ,33.509874,-112.054155,Nissan Dealership,,50,50,1,2,1,1,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area"
Non-networked,1620,,Larry H. Miller Nissan,"2025 W. Riverview Auto Drive, Mesa, AZ 85201",AZ,33.434124,-111.872116,Nissan Dealership,,40,40,1,2,1,1,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area"
Non-networked,1623,,AutoNation Nissan Chandler,"1350 South Gilbert Road Chandler, AZ	 85286",AZ,33.28632,-111.791061,Nissan Dealership,,50,50,1,2,1,1,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area"
Non-networked,1680,,Central Avenue Nissan,"1919 Central Park Ave, Yonkers NY 10710",NY,40.964468,-73.840035,Nissan Dealership,,50,50,1,1,0,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1681,,Nissan of Garden City,"316 N Franklin St, Hempstead, NY 11550",NY,40.71692,-73.630173,Nissan Dealership,,50,50,1,1,0,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1684,,Nissan of Huntington,"850 East Jericho Turnpikep, Huntington Station, NY 11746",NY,40.83397,-73.3798,Nissan Dealership,,50,50,1,1,0,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1685,,Nissan of Yorktown Heights,"3495 Crompond Road, Yorktown Heights NY 10598",NY,41.290175,-73.836583,Nissan Dealership,,,,1,2,1,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1699,,Riverhead Auto Mall,"1800a Old Country Rd, Riverhead, NY 11901, USA",NY,40.92462,-72.704831,Car Dealership,,,,1,2,1,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1700,,Simmons Rockwell Nissan,"224 Colonial Dr, Horseheads, NY 14845",NY,42.162315,-76.868729,Nissan Dealership,,,,1,2,1,1,"Elmira, NY","Elmira, NY Metro Area"
Non-networked,1702,,Country Club Nissan,"55 Oneida St, Oneonta, NY 13820",NY,42.451269,-75.100322,Nissan Dealership,,,,1,2,1,1,"Oneonta, NY","Oneonta, NY Micro Area"
Non-networked,1705,,Nissan 112,"730 Route 112, Patchogue NY 11772",NY,40.79324,-73.007851,Nissan Dealership,,50,50,1,1,0,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1709,,Action Nissan,"307 Thompson Ln, Nashville, TN, 37211",TN,36.10994,-86.74421,Nissan Dealership,,50,50,1,1,0,1,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
Non-networked,1710,,Nashville Nissan,"25 Vantage Way, Nashville TN 37228",TN,36.190601,-86.793259,Nissan Dealership,,50,50,1,1,0,1,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
Non-networked,1711,,Nissan of Cool Springs,"212 Comtide Court, Franklin TN 37067",TN,35.956992,-86.80957,Nissan Dealership,,50,50,1,1,0,1,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
Non-networked,1712,,Nissan of Rivergate,"1550 Gallatin Pike N, Madison TN 37115",TN,36.290611,-86.705025,Nissan Dealership,,50,50,1,1,0,1,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
Non-networked,1713,,Newton Nissan,"1461 Nashville Pike, Gallatin TN 37066",TN,36.361687,-86.495041,Nissan Dealership,,50,50,1,1,0,1,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
Non-networked,1714,,Nissan of Murfreesboro,"814 Memorial Blvd, Murfreesboro TN 37129",TN,35.853525,-86.394615,Nissan Dealership,,50,50,1,1,0,1,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
Non-networked,1717,,Harold Mathews Nissan,"185 Highway 76, Clarksville TN 37043",TN,36.51268,-87.269516,Nissan Dealership,,50,50,1,1,0,1,"Clarksville, TN-KY","Clarksville, TN-KY Metro Area"
Non-networked,1722,,Mountain View Nissan,"2100 S. Market St., Chattanooga TN 37408",TN,35.030315,-85.307793,Nissan Dealership,,50,50,1,1,0,1,"Chattanooga, TN-GA","Chattanooga, TN-GA Metro Area"
Non-networked,1737,,Jim Keras Nissan,"2080 Covington Pike, Memphis TN 38128",TN,35.181023,-89.895691,Nissan Dealership,,50,50,1,1,0,1,"Memphis, TN-MS-AR","Memphis, TN-MS-AR Metro Area"
Non-networked,1740,,Hill Nissan,"6401 Cypress Gardens Blvd, Winter Haven, FL, 33884",FL,27.982958,-81.67626,Nissan Dealership,,50,50,1,1,0,1,"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL Metro Area"
Non-networked,1744,,Courtesy Nissan of Tampa,"3800 W Hillsborough Ave, Tampa FL 33614",FL,27.994829,-82.506752,Nissan Dealership,,50,50,1,1,0,1,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area"
Non-networked,1745,,Universal Nissan,"12785 South Orange Blossom Trail, Orlando, FL 32837  ",FL,28.37995,-81.403107,Nissan Dealership,,50,50,1,1,0,1,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area"
Non-networked,1746,,Alan Jay Nissan,"1700 Flare Road, Sebring FL 33870",FL,27.48583,-81.48178,Nissan Dealership,,50,50,1,1,0,1,"Sebring, FL","Sebring, FL Metro Area"
Non-networked,1748,,Reed Nissan,"3776 W Colonial Dr, Orlando FL 32808",FL,28.552549,-81.424492,Nissan Dealership,,50,50,1,1,0,1,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area"
Non-networked,1759,,Harbor Nissan,"4336 Tamiami Trail, Port Charlotte, FL 33980",FL,26.966888,-82.076847,Nissan Dealership,,50,50,1,1,0,1,"Punta Gorda, FL","Punta Gorda, FL Metro Area"
Non-networked,1760,,DeLand Nissan,"2600 S Woodland Blvd, DeLand, FL 32720",FL,28.983859,-81.300568,Nissan Dealership,,50,50,1,1,0,1,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
Non-networked,1762,,Pat Fischer Nissan,"1128 S Hopkins Ave, Titusville FL 32780",FL,28.602932,-80.808165,Nissan Dealership,,50,50,1,1,0,1,"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL Metro Area"
Non-networked,1766,,Sutherlin Nissan,"13985 S Tamiami Trail, Fort Myers, FL 33912",FL,26.539325,-81.870824,Nissan Dealership,,50,50,1,1,0,1,"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL Metro Area"
Non-networked,1772,,Nissan of St Augustine,"2755 US 1 South, St. Augustine FL 32086",FL,29.844586,-81.323126,Nissan Dealership,,50,50,1,1,0,1,"Jacksonville, FL","Jacksonville, FL Metro Area"
Non-networked,1773,,Coggin Nissan At The Avenues,"10859 Philips Hwy, Jacksonville FL 32256",FL,30.172218,-81.544861,Nissan Dealership,,50,50,1,1,0,1,"Jacksonville, FL","Jacksonville, FL Metro Area"
Non-networked,1774,,Nissan of Orange Park,"7447 Blanding Blvd, Jacksonville FL 32244",FL,30.212222,-81.736502,Nissan Dealership,,50,50,1,1,0,1,"Jacksonville, FL","Jacksonville, FL Metro Area"
Non-networked,1800,,Coggin Nissan,"10600 Atlantic Blvd, Jacksonville FL 32225",FL,30.323944,-81.52404,Nissan Dealership,,50,50,1,1,0,1,"Jacksonville, FL","Jacksonville, FL Metro Area"
Non-networked,1801,,Weston Nissan,"3650 Weston Rd, Davie, FL 33331",FL,26.073863,-80.361932,Nissan Dealership,,,,1,1,0,1,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
Non-networked,1803,,Fort Lauderdale Nissan,"1051 S Federal Hwy, Fort Lauderdale FL 33316",FL,26.109938,-80.137505,Nissan Dealership,,,,1,1,0,1,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
Non-networked,1805,,Palmetto 57 Nissan,"16725 NW 57th Ave., Miami, FL, 33055",FL,25.926003,-80.292221,Nissan Dealership,,50,50,1,1,0,1,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
Non-networked,1807,,AutoNation Nissan of Miami,"3345 SW 8th St, Miami, FL 33135",FL,25.765129,-80.250207,Nissan Dealership,,,,1,1,0,1,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
Non-networked,1809,,Kraft Nissan,"3277 Mahan Dr, Tallahassee FL 32308",FL,30.46103,-84.22129,Nissan Dealership,,50,50,1,1,0,1,"Tallahassee, FL","Tallahassee, FL Metro Area"
Non-networked,1813,,Wolfchase Nissan,"2956 N Germantown Rd, Bartlett TN 38133",TN,35.205715,-89.791115,Nissan Dealership,,50,50,1,1,0,1,"Memphis, TN-MS-AR","Memphis, TN-MS-AR Metro Area"
Non-networked,1847,,Chapman Nissan,"6723 Essington Ave, Philadelphia, PA 19153",PA,39.910278,-75.223449,Nissan Dealership,,50,50,1,1,0,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
Non-networked,1849,,West Hills Nissan,"7900 University Blvd, Coraopolis, PA 15108",PA,40.513729,-80.222809,Nissan Dealership,,50,50,1,1,0,1,"Pittsburgh, PA","Pittsburgh, PA Metro Area"
Non-networked,1850,,John Sisson Motors,"470 Washington Rd, Washington, PA 15301",PA,40.189198,-80.213272,Nissan Dealership,,50,50,1,1,0,1,"Pittsburgh, PA","Pittsburgh, PA Metro Area"
Non-networked,1864,,Ron Bouchard's Nissan,"490 Old Union Turnpike, Lancaster MA 01523",MA,42.519585,-71.700947,Nissan Dealership,,50,50,1,1,0,1,"Worcester, MA-CT","Worcester, MA-CT Metro Area"
Non-networked,1865,,Salem Nissan,"93 S Broadway, Salem, NH 03079",NH,42.772713,-71.222357,Nissan Dealership,,50,50,1,1,0,1,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area"
Non-networked,1868,,Country Nissan,"40 Russell St, Hadley, MA 01035, USA",MA,42.340545,-72.606146,Nissan Dealership,,,,1,2,1,1,"Springfield, MA","Springfield, MA Metro Area"
Non-networked,1871,,Marlboro Nissan,"740 Boston Post Road East Marlborough, MA 01752",MA,42.351089,-71.500778,Nissan Dealership,,50,50,1,1,0,1,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area"
Non-networked,1873,,Kelly Nissan of Lynnfield,"275 Broadway Lynnfield, MA 01940",MA,42.510075,-71.009064,Nissan Dealership,,50,50,1,1,0,1,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area"
Non-networked,1875,,Bertera Nissan,"569 Oxford St S, Auburn MA 01501",MA,42.182922,-71.850159,Nissan Dealership,,50,50,1,1,0,1,"Worcester, MA-CT","Worcester, MA-CT Metro Area"
Non-networked,1882,,Coastal Nissan,"109 Accord Park Dr, Norwell, MA 02061",MA,42.165901,-70.887947,Nissan Dealership,,50,50,1,1,0,1,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area"
Non-networked,1883,,Boch South Nissan,"685 S. Washington Street, North Attleboro, MA 02760",MA,41.960392,-71.341362,Nissan Dealership,,50,50,1,1,0,1,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area"
Non-networked,1884,,Stateline Nissan,"845 Taunton Ave, East Providence RI 02914",RI,41.822118,-71.349215,Nissan Dealership,,,,1,2,1,1,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area"
Non-networked,1885,,Mastria Nissan FREE CHARGE ,"1305 New State Hwy, Raynham MA 02767",MA,41.904048,-71.017224,Nissan Dealership,,50,50,1,2,1,1,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area"
Non-networked,1887,,Speedcraft Nissan,"885 Quaker Ln, West Warwick, RI 02893",RI,41.671743,-71.500072,Nissan Dealership,,50,50,1,1,0,1,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area"
Non-networked,1889,,Barberino Nissan,"505 N. Colony St., Wallingford, CT, 06492",CT,41.4673,-72.81785,Nissan Dealership,,,,1,2,1,1,"New Haven-Milford, CT","New Haven-Milford, CT Metro Area"
Non-networked,1890,,George Harte Nissan,"426 Derby Ave, West Haven CT 06516",CT,41.307603,-72.968563,Nissan Dealership,,50,50,1,1,0,1,"New Haven-Milford, CT","New Haven-Milford, CT Metro Area"
Non-networked,1894,,Pohanka Nissan of Salisbury,"2012 N. Salisbury Blvd., Salisbury, MD, 21801",MD,38.392274,-75.57571,Nissan Dealership,,,,1,2,1,1,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area"
Non-networked,1898,,Sheehy Nissan of Waldorf,"2950 Crain Hwy, Waldorf MD 20601",MD,38.63031,-76.9061,Nissan Dealership,,44,44,1,1,0,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,1899,,Sheehy Nissan,"7232 Ritchie Hwy Glen Burnie, MD 21061",MD,39.172593,-76.619737,Nissan Dealership,,,,1,1,0,1,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area"
Non-networked,1905,,Herb Gordon Nissan,"3131 Automobile Blvd, Silver Spring, MD 20904",MD,39.077709,-76.94799,Nissan Dealership,,50,50,1,1,0,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,1906,,Bel Air Nissan,"1508 Belair Rd #2000, Bel Air, MD 21014",MD,39.506043,-76.382121,Nissan Dealership,,,,1,2,1,1,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area"
Non-networked,1910,,Porter Nissan,"300 E Cleveland Ave, Newark, DE, 19711",DE,39.687225,-75.740471,Nissan Dealership,,50,50,1,1,0,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
Non-networked,1912,,Nationwide Motors Nissan,"2085 York Rd., Timonium, MD, 21093",MD,39.440667,-76.625948,Nissan Dealership,,,,1,2,1,1,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area"
Non-networked,1923,,Acme Nissan,"2050 US Highway 130, Monmouth Junction, NJ, 08852",NJ,40.409488,-74.506117,Nissan Dealership,,,,1,1,0,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1925,,Bridgewater Nissan,"1400 Route 22, Bridgewater, NJ, 08807",NJ,40.574348,-74.57132,Nissan Dealership,,50,50,1,1,0,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1926,,Nissan World of Springfield,"146 Route 22 West, Springfield, NJ, 07081",NJ,40.687072,-74.319021,Nissan Dealership,,,,1,2,1,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1930,,Nissan of Turnersville,"3400 Route 42, Turnersville NJ 08012",NJ,39.730186,-75.030678,Nissan Dealership,,50,50,1,1,0,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
Non-networked,1933,,Nissan World of Denville,"3057 Route 10, Denville NJ 07834",NJ,40.86467,-74.506363,Nissan Dealership,,,,1,2,1,1,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area"
Non-networked,1939,,Hyman Brothers Nissan,"11841 Midlothian Turnpike, Midlothian, VA 23113",VA,37.503022,-77.618653,Nissan Dealership,,50,50,1,1,0,1,"Richmond, VA","Richmond, VA Metro Area"
Non-networked,1940,,Priority Nissan Richmond,"16301 Priority Way, Colonial Heights, VA 23834, USA",VA,37.304947,-77.39254,Nissan Dealership,,50,50,1,1,0,1,"Richmond, VA","Richmond, VA Metro Area"
Non-networked,1941,,Nissan of Newport News,"12925 Jefferson Ave, Newport News VA 23608",VA,37.151539,-76.530756,Nissan Dealership,,50,50,1,1,0,1,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
Non-networked,1942,,Colonial Nissan,"100 Myers Dr, Charlottesville, VA 22906",VA,38.084805,-78.473091,Nissan Dealership,,50,50,1,1,0,1,"Charlottesville, VA","Charlottesville, VA Metro Area"
Non-networked,1943,,Pomoco Nissan of Hampton,"1134 W Mercury Blvd, Hampton VA 23666",VA,37.04248,-76.388359,Nissan Dealership,,50,50,1,1,0,1,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
Non-networked,1944,,Hall Nissan,"3417 Western Branch Blvd, Chesapeake VA 23321",VA,36.864785,-76.417888,Nissan Dealership,,50,50,1,1,0,1,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
Non-networked,1945,,Cowles Nissan,"14777 Jefferson Davis Hwy, Woodbridge VA 22191",VA,38.629513,-77.274208,Nissan Dealership,,50,50,1,1,0,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,1946,,Nissan of Norfolk,"1250 N Military Hwy Norfolk, VA 23502",VA,36.866188,-76.209976,Nissan Dealership,,50,50,1,1,0,1,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
Non-networked,1947,,Sheehy Nissan of Manassas,"9010 Liberia Ave, Manassas, VA 20110",VA,38.760764,-77.458841,Nissan Dealership,,,,1,1,0,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,1948,,Banister Nissan of Chesapeake,"930 Battlefield Blvd. N, Chesapeake, VA 23320",VA,36.753635,-76.248146,Nissan Dealership,,50,50,1,1,0,1,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
Non-networked,1949,,Passport Nissan / Alexandria,"150 S Pickett St, Alexandria VA 22304",VA,38.809052,-77.121948,Nissan Dealership,,50,50,1,1,0,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
