Latitude,Longitude,Charger Type,Charger ID,Property Name,Revenue,Variable Expense,Fixed Expense,Direct Margin,Network Operating Margin,Capacity,Sessions to BE,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
34.080821,-83.918901,DC,C5306,Hamilton Crossing,1589.881529,1829.179635,1133.112816,-239.2981065,-1372.410922,50,3.696729756,2.076388889,2.72625448,1.776433692,1.351686508,2.764336918,2.236111111,2.3140681,1.342592593,2.927867384,3.461021505,3.099537037,5.163530466,3.782407407,1.731630824,3.286290323,6.768353175,4.422043011,5.893518519,6.637544803,3.854166667,1.960125448,2.921146953,5.233796296
33.922011,-118.131155,DC,C4746,Promenade at Downey,8747.634626,3390.201381,1855.346154,5357.433246,3502.087092,50,-9.433231223,13.83101852,10.64292115,10.58467742,10.83581349,12.1953405,10.23148148,11.10663082,11.24305556,9.565412186,13.77464158,15.00694444,15.44130824,12.2962963,11.75179211,13.43862007,12.46031746,12.32526882,12.21990741,13.46998208,11.375,11.16487455,8.95609319,14.93287037
33.922011,-118.131155,DC,C4745,Promenade at Downey,6787.211008,2630.426751,1855.346154,4156.784257,2301.438103,50,-6.199159873,7.148148148,7.157258065,9.345878136,9.15922619,9.153225806,9.472222222,8.806003584,9.337962963,9.910394265,9.737903226,10.79398148,12.06317204,11.51851852,11.66890681,11.7405914,11.78075397,7.862903226,9.310185185,9.258512545,8.967592593,7.437275986,7.446236559,6.851851852
41.943227,-87.689322,DC,C5974,Jewel-Osco Grocery (Albertsons #0901),784.4697738,138.2540777,1903.135403,646.2156962,-1256.919707,50,3.385642308,3.587962963,12.14605735,2.141577061,9.685019841,9.003136201,12.60648148,13.25492832,7.386574074,5.035842294,5.907258065,5.418981481,5.461469534,8.201388889,8.53718638,9.397401434,8.10515873,4.865591398,2.041666667,3.205645161,2.460648148,2.986111111,3.30421147,3.356481481
47.234942,-122.429609,DC,C6650,LeMay-America's Car Museum,3379.80582,735.5490628,1215.993091,2644.256758,1428.263666,50,-3.847174858,0,0,0,0,0,0,0,0,0,3.436379928,3.738425926,4.103942652,4.543981481,4.896953405,4.952956989,18.8219246,13.10035842,11.54398148,13.41845878,12.63657407,10.34722222,10.15681004,12.40509259
47.234942,-122.429609,DC,C6651,LeMay-America's Car Museum,3814.577059,830.1685748,1215.993091,2984.408485,1768.415393,50,-4.763408466,0,0,0,0,0,0,0,0,0,1.47625448,1.918981481,1.164874552,1.453703704,2.394713262,2.780017921,19.22371032,21.21863799,17.28009259,14.91935484,13.37731481,12.54256272,14.51836918,14.59722222
39.212575,-76.944272,DC,C3006,Antwerpen Nissan,86.50036286,18.41195541,640.4368339,68.08840744,-572.3484265,50,1.541679263,0,0.300179211,0,0,0,0,0,0,0.20609319,0.448028674,0.310185185,0.280017921,0.201388889,0.568996416,0.730286738,0.342261905,0.284498208,0.530092593,0.244175627,0.238425926,0.855734767,0.44578853,0.340277778
38.872398,-77.16078,DC,C1544,The Loren,6558.412151,1120.476534,1093.077476,5437.935617,4344.858141,50,-11.70332159,3.386574074,4.885752688,3.259408602,3.576388889,1.931003584,1.506944444,0.521953405,3.62037037,3.409498208,3.814964158,6.701388889,6.756272401,8.650462963,4.722222222,8.201164875,7.140376984,6.294802867,3.618055556,4.180107527,6.069444444,7.739695341,4.366039427,4.423611111
38.9809059,-76.542838,DC,C1282,Crosswinds at Annapolis Town Center,1422.331407,372.425247,1547.744535,1049.90616,-497.8383746,50,1.340978787,1.247685185,1.691308244,2.443996416,0.9375,2.278225806,1.909722222,2.219982079,2.497685185,2.10125448,3.384856631,4.25,4.094982079,4.05787037,4.003136201,3.577508961,3.447420635,3.971774194,4.381944444,4.224910394,3.835648148,4.135304659,3.700716846,5.546296296
32.13439,-110.924524,DC,C6062,Baggins-Valencia,1700.612199,770.4108412,1185.769851,930.2013577,-255.5684935,50,0.688399982,3.229166667,2.253584229,2.170698925,4.605654762,3.319892473,3.689814815,4.563172043,5.833333333,3.281810036,4.061379928,4.837962963,4.258512545,3.652777778,4.413082437,1.931003584,3.363095238,1.27688172,1.405092593,2.305107527,3.486111111,1.825716846,2.103494624,2.020833333
